permutation_type,permutations,seed,RMSE,Rsquared,MAE,Resample
response,21,63,3.9404439381947105,0.02029882184951691,3.3187548290509308,Bootstrap01
response,21,63,5.518811997084852,0.3286494599508168,4.250159194708748,Bootstrap02
response,21,63,8.125672827198244,0.08908411741553152,5.927127941898609,Bootstrap03
response,21,63,9.226947511887955,0.6689115139058018,8.294097503040359,Bootstrap04
response,21,63,4.929380675905345,0.005814849835152038,4.364965092083104,Bootstrap05
response,21,63,7.212539224740304,0.15620750245902415,6.32285523536497,Bootstrap06
response,21,63,8.60176097367363,0.06255005180197931,7.421879458475877,Bootstrap07
response,21,63,6.295289576170312,0.07513618039801266,5.396376002999207,Bootstrap08
response,21,63,5.923163679061859,4.4649395554993354e-5,4.614874846900135,Bootstrap09
response,21,63,8.37649808755898,0.2857432746346745,5.732732101910987,Bootstrap10
response,22,64,6.849771057556545,3.5922444225602184e-4,5.448134725165913,Bootstrap01
response,22,64,4.7871193652765704,0.01024269185367747,4.115014869244053,Bootstrap02
response,22,64,9.677789106680931,0.07711867451110506,7.750238773725868,Bootstrap03
response,22,64,6.024235116331308,0.44364474094312223,5.485853681635613,Bootstrap04
response,22,64,7.415265779213591,0.06511362375334642,6.061048573652592,Bootstrap05
response,22,64,6.806441274765596,0.206710811505595,5.1289864479715614,Bootstrap06
response,22,64,6.737460805585936,0.081549383163505,5.1473928311173385,Bootstrap07
response,22,64,5.643086250409476,0.1714085946447552,4.894599841051446,Bootstrap08
response,22,64,6.896689825516921,0.2634072303181083,6.2199315087237705,Bootstrap09
response,22,64,8.630345919668128,0.021283456213648844,7.282792258639173,Bootstrap10
response,23,65,10.34805059849645,0.054330294786194645,9.308401420221042,Bootstrap01
response,23,65,11.375017588338821,0.6212067246137091,11.061709762432548,Bootstrap02
response,23,65,7.103395685219737,0.03424159529439579,6.048535816342422,Bootstrap03
response,23,65,6.572328713306607,0.032211794808057935,4.764647954374906,Bootstrap04
response,23,65,9.910580669174132,0.35729072882444035,9.062583078497424,Bootstrap05
response,23,65,9.021247984787129,0.034999510417425335,7.6389731563477214,Bootstrap06
response,23,65,4.112392621564804,0.10904381314512206,3.5429924336316985,Bootstrap07
response,23,65,11.06328122876766,0.2086614225455608,9.758630081631042,Bootstrap08
response,23,65,7.200976787828735,0.32656442342560194,6.7668185345490786,Bootstrap09
response,23,65,4.869002909607076,0.1974050944878247,4.012108211306867,Bootstrap10
response,24,66,8.03569339769199,0.027241568970146377,5.710807427639885,Bootstrap01
response,24,66,6.489971054506221,0.006708170883697217,5.641574618433442,Bootstrap02
response,24,66,7.860509980661752,0.006138630846084447,7.417552549983093,Bootstrap03
response,24,66,4.66574105532802,0.10473338290841969,4.098245924657892,Bootstrap04
response,24,66,7.047653968038879,0.10068502137315179,5.72501255103932,Bootstrap05
response,24,66,9.086064801450068,0.0042609866067784006,7.654307853899961,Bootstrap06
response,24,66,6.894508275242635,0.009166116502422453,5.410742806643998,Bootstrap07
response,24,66,7.603573575502955,0.07483317596083564,5.946700470300318,Bootstrap08
response,24,66,5.122719876409614,0.0036628457837534966,4.328610768316861,Bootstrap09
response,24,66,8.204390285750993,0.2411039607199976,6.719505044827243,Bootstrap10
response,25,67,7.008270044531702,0.06157216825198615,5.91353678051838,Bootstrap01
response,25,67,7.788985825308032,0.07648471027658582,6.380107216065296,Bootstrap02
response,25,67,6.403767702529221,0.03024301293476703,5.280909903754979,Bootstrap03
response,25,67,7.253078751421562,0.08953515574673437,6.788998283837397,Bootstrap04
response,25,67,3.7644663115034356,0.1819755387960435,2.849911449384476,Bootstrap05
response,25,67,7.470754765925398,0.19246534877991925,6.3583444509574045,Bootstrap06
response,25,67,7.7895528988691245,9.950208089977942e-4,5.93973728215823,Bootstrap07
response,25,67,7.589647562297179,0.0030695519251542477,6.354062095978518,Bootstrap08
response,25,67,7.003242942371165,0.0037115627241268608,5.658426098060989,Bootstrap09
response,25,67,11.802118869437502,0.010153149644848309,9.631615529461062,Bootstrap10
response,26,68,10.7381878262841,0.11734468699060306,9.493328521951204,Bootstrap01
response,26,68,7.68518143178722,0.4416774989983328,5.892708871896974,Bootstrap02
response,26,68,11.249193190630763,0.14776447512721538,9.381514119343796,Bootstrap03
response,26,68,8.099373013397736,0.03428171770667298,6.179283839023294,Bootstrap04
response,26,68,8.520508363493992,0.1714603570354815,7.467938683900026,Bootstrap05
response,26,68,8.695315018645497,0.9707789743385924,7.4244968498536155,Bootstrap06
response,26,68,9.385326349466567,0.41296284317500503,8.362974243741522,Bootstrap07
response,26,68,8.377522020284756,0.004141223794968059,6.865029247965923,Bootstrap08
response,26,68,6.74134043127217,0.007454714696713748,6.329422479684974,Bootstrap09
response,26,68,7.58427767525329,0.3164557270039527,6.306708630654084,Bootstrap10
response,27,69,6.130830244510656,0.39567362122232214,5.703291916979707,Bootstrap01
response,27,69,8.349026246417207,0.0016668661406320144,6.668109643623251,Bootstrap02
response,27,69,5.299235193467702,0.14217318444116436,4.950037039495777,Bootstrap03
response,27,69,10.814041172544348,0.11740721762810048,9.668445074375434,Bootstrap04
response,27,69,5.338264652494824,0.3745039977905525,4.441117004889287,Bootstrap05
response,27,69,6.964063418539685,0.2769792975810164,5.902483140982755,Bootstrap06
response,27,69,5.792789180709907,0.04360826176581368,5.327110499756768,Bootstrap07
response,27,69,8.682724856572348,0.046831415501207715,7.0902723887076045,Bootstrap08
response,27,69,6.461263707383571,0.7113259401991499,5.354365758055932,Bootstrap09
